,Empresas,Cargos,Salarios,Ciudades,Urls
152,acoplaf,Administrador,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/administrador/1885613474
153,AH MANTENIMIENTO Y MONTAJES SAS,Coordinador de seguridad y salud en el trabajo,"$2 a $2,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/coordinador-de-seguridad-y-salud-en-el-trabajo/1885613478
154,ATRYS COLOMBIA SAS,Especialista en calidad y/o seguridad del paciente,"$4 a $4,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/especialista-en-calidad-y-o-seguridad-del-paciente/1885613483
155,AUDIFARMA,Analista de proyectos operaciones,Salario a convenir,Pereira,https://www.elempleo.com/co/ofertas-trabajo/analista-de-proyectos-operaciones/1885613473
156,Comestibles Ricos S.A,Mercaderista girardot,"$1 a $1,5 millones",Girardot,https://www.elempleo.com/co/ofertas-trabajo/mercaderista-girardot/1885613489
157,Cueros Velez S.A.,Director de relaciones laborales,Salario a convenir,Medellín,https://www.elempleo.com/co/ofertas-trabajo/director-de-relaciones-laborales/1885613484
158,ABW PRODUCTOS VARIADOS SAS,Asesora comercial,"$1 a $1,5 millones",Mosquera,https://www.elempleo.com/co/ofertas-trabajo/asesora-comercial/1885613492
159,Empresa confidencial,Analista de operaciones internacionales,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/analista-de-operaciones-internacionales/1885613491
160,Empresa confidencial,Auxiliar experiencia de cliente pqr,"$1,5 a $2 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-experiencia-de-cliente-pqr/1885613446
161,D1 SAS,Practicante universitario profesional en sst,"$1 a $1,5 millones",Funza,https://www.elempleo.com/co/ofertas-trabajo/practicante-universitario-profesional-en-sst/1885613447
162,Sodimac - Homecenter,Vendedor 6 horas hc industriales,Salario a convenir,Medellín,https://www.elempleo.com/co/ofertas-trabajo/vendedor-6-horas-hc-industriales/1885613463
163,Nexarte,Todero auxiliar de mantenimiento,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/todero-auxiliar-de-mantenimiento/1885613462
164,Servicio de empleo Comfama,Auxiliar de servicios generales 1626176612.9,"$1 a $1,5 millones",Medellín,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-servicios-generales-16261766129/1885613470
165,Servicio de empleo Comfama,Mentor/a de ingles para fines de semana 317258.159209,Salario a convenir,Medellín,https://www.elempleo.com/co/ofertas-trabajo/mentor-a-de-ingles-para-fines-de-semana-317258159209/1885613471
166,Servicio de empleo Comfama,"Operario/a de producción, selección y empaque para rionegro 1626019435.25","$1 a $1,5 millones",Rionegro,https://www.elempleo.com/co/ofertas-trabajo/operario-a-de-produccion-seleccion-y-empaque-para-rionegro-162601943525/1885613468
167,OPERADORA AVICOLA,Ejecutivo comercial canal tradicional - antioquia,Salario a convenir,Medellín,https://www.elempleo.com/co/ofertas-trabajo/ejecutivo-comercial-canal-tradicional-antioquia/1885306983
168,Empresa confidencial,Director de programa académico - eje cafetero,Salario a convenir,Pereira,https://www.elempleo.com/co/ofertas-trabajo/director-de-programa-academico-eje-cafetero/1885613509
169,LULO BANK S.A,Analista de monitoreo transaccional,"$2 a $2,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/analista-de-monitoreo-transaccional/1885613513
170,DUNKIN DONUTS - DONUCOL,Auxiliar punto de venta -bogota,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-punto-de-venta-bogota/1885613494
171,Servicio de empleo Comfama,Ayudante de construcción 1626350657.11,"$1 a $1,5 millones",Rionegro,https://www.elempleo.com/co/ofertas-trabajo/ayudante-de-construccion-162635065711/1885613493
172,AGENCIA DE EMPLEO COLSUBSIDIO,Supervisor de produccion,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/supervisor-de-produccion/1885613496
173,Empresa confidencial,Inspector seguridad y salud en el trabajo armenia,"$2,5 a $3 millones",Armenia,https://www.elempleo.com/co/ofertas-trabajo/inspector-seguridad-y-salud-en-el-trabajo-armenia/1885613505
174,Servicio de empleo Comfama,Ayudante de soldadura 1626351920.2,"$1 a $1,5 millones",Caldas,https://www.elempleo.com/co/ofertas-trabajo/ayudante-de-soldadura-16263519202/1885613504
175,AGENCIA DE EMPLEO COLSUBSIDIO,Auxiliar contable,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-contable/1885613507
176,FESTO,Asesor learning system,Salario a convenir,Bogotá alrededores,https://www.elempleo.com/co/ofertas-trabajo/asesor-learning-system/1885613524
177,Empresa confidencial,Auxiliar de nómina,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-nomina/1885613533
178,Empresa confidencial,Operaria maquina plana,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/operaria-maquina-plana/1885613537
179,AGENCIA DE EMPLEO COLSUBSIDIO,Diseñador y programador cnc laser,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/disenador-y-programador-cnc-laser/1885613521
180,fucs,Analista de sistemas,"$3 a $3,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/analista-de-sistemas/1885508759
181,Empresa confidencial,Analista comercial,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/analista-comercial/1885226106
182,Empresa confidencial,Auxiliar de mantenimiento - mecanico,"$1,5 a $2 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-mantenimiento-mecanico/1885613562
183,GI GROUP COLOMBIA S.A.S,Auxiliar comercio exterior - ipiales,"$1 a $1,5 millones",Ipiales,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-comercio-exterior-ipiales/1885613555
184,Javesalud,Líder de bacteriología ( toma de muestras ) - cali,"$2,5 a $3 millones",Cali,https://www.elempleo.com/co/ofertas-trabajo/lider-de-bacteriologia-toma-de-muestras-cali/1885603707
185,Empresa confidencial,Auxiliar de contabilidad,Salario a convenir,Medellín,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-contabilidad/1885613563
186,Promotora apartamentos Dann,Auxiliar de nomina,"$1,5 a $2 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-nomina/1885613571
187,AGENCIA DE EMPLEO CAFAM,Auxiliar de farmacia,"$1,5 a $2 millones",Chía,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-farmacia/1885613379
188,Empresa confidencial,Aprendiz sena gestión administrativa (bogotá),Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/aprendiz-sena-gestion-administrativa-bogota/1885613542
189,EUSALUD S.A.,Auxiliar de enfermeria en hospitalización,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-enfermeria-en-hospitalizacion/1885613582
190,Empresa confidencial,Coordinador administrativo,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/coordinador-administrativo/1885613586
191,Empresa confidencial,Lijadores,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/lijadores/1885613589
192,SUPERNUMERARIOS S.A.,"Meseros - cajicá, chía","$1 a $1,5 millones",Cajicá,https://www.elempleo.com/co/ofertas-trabajo/meseros-cajica-chia/1885613590
193,Empresa confidencial,Auxiliar de soporte técnico,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-soporte-tecnico/1885613596
194,PRODESEG S.A.,Ingeniero de proyectos,"$2 a $2,5 millones",Cota,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-de-proyectos/1885613526
195,Empresa confidencial,Rs-012325 - asesor de servicio al cliente - dibulla,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/rs012325-asesor-de-servicio-al-cliente-dibulla/1885613584
196,Empresa confidencial,Director financiero,$8 a $10 millones,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/director-financiero/1885613579
197,En Tienda Distribuciones Ltda.,Asesora vendedora tat,"$1,5 a $2 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/asesora-vendedora-tat/1885613580
198,Empresa confidencial,Aprendiz sena contabilidad (bogotá),Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/aprendiz-sena-contabilidad-bogota/1885613545
199,Zemsania Colombia S.A.S,Gerente de proyectos ti ecommerce - hibrido bogotá,$8 a $10 millones,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/gerente-de-proyectos-ti-ecommerce-hibrido-bogota/1885613543
200,FUNDACIÓN UNIVERSITARIA INTERNACIONAL DE LA RIOJA,Auxiliar gestión administrativa,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-gestion-administrativa/1885613132
201,SITEL,Practicante bilingue psicologia-etapa de prácticas,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/practicante-bilingue-psicologiaetapa-de-practicas/1885613129
202,STAFFING DE COLOMBIA,Presentadora modelo/ juegos de casino/ medellin,"$1 a $1,5 millones",Medellín,https://www.elempleo.com/co/ofertas-trabajo/presentadora-modelo--juegos-de-casino--medellin/1885613157
203,Empresa confidencial,Tecnico de soporte sector hidrocarburos,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/tecnico-de-soporte-sector-hidrocarburos/1885613159
204,UNIAGRARIA,Docente de apoyo y acompañamiento a prácticas,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/docente-de-apoyo-y-acompanamiento-a-practicas/1885613169
205,MSN LABS AMERICAS SAS,Medico administrativo,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/medico-administrativo/1885613178
206,Holcim,Analista de conciliaciones bilingüe (holcim abs) - frances b2,"$2,5 a $3 millones",Remoto,https://www.elempleo.com/co/ofertas-trabajo/analista-de-conciliaciones-bilingue-holcim-abs-frances-b2/1885612959
207,Empresa confidencial,Lider mantenimiento (consumo masivo alimentos),"$3 a $3,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/lider-mantenimiento-consumo-masivo-alimentos/1885613149
208,Empresa confidencial,Analista de mercadeo,"$3,5 a $4 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/analista-de-mercadeo/1885613182
209,STAFFING DE COLOMBIA,Director de proyectos / mercadeo / mercadotecnia / publicidad,"$3,5 a $4 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/director-de-proyectos---mercadeo---mercadotecnia---publicidad/1885613193
210,EMTELCO,Analista de desarrollo de aplicaciones - medellín,"$2,5 a $3 millones",Medellín,https://www.elempleo.com/co/ofertas-trabajo/analista-de-desarrollo-de-aplicaciones-medellin/1885613203
211,Fundacion Santa fé,Instrumentador (a) quirurgico (a),"$3 a $3,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/instrumentador-a-quirurgico-a/1885613209
212,PANAMERICANA OUTSOURCING S.A.,Auxiliar de auditoría procesos,"$1,5 a $2 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-auditoria-procesos/1885548797
213,NEXA BPO,Agente call center cobranzas cartera administrativa,"$1,5 a $2 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/agente-call-center-cobranzas-cartera-administrativa/1885613208
214,CONFIPETROL,Auxiliar jurídico,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-juridico/1885613204
215,Biomedical Distribution Colombia SL LTDA,"Supervisor de infraestructura it, bogotá",$6 a $8 millones,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/supervisor-de-infraestructura-it-bogota/1885613155
216,NEXA BPO,Agente call center cobranzas cartera administrativa,"$1,5 a $2 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/agente-call-center-cobranzas-cartera-administrativa/1885613150
217,Empresa confidencial,Psicologo - ppl medellin,"$2 a $2,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/psicologo-ppl-medellin/1885613374
218,Empresa confidencial,Ejecutivo de ventas,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/ejecutivo-de-ventas/1885613376
219,CAFAM,Inspector de seguridad integral,"$3 a $3,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/inspector-de-seguridad-integral/1885613390
220,Servicio de empleo Comfama,Communications and marketing manager bilingüe 1626345623.3,"$4,5 a $5,5 millones",Medellín,https://www.elempleo.com/co/ofertas-trabajo/communications-and-marketing-manager-bilingue-16263456233/1885613391
221,CREDICORP CAPITAL COLOMBIA,Asistente de contabilidad,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/asistente-de-contabilidad/1885613388
222,Empresa confidencial,Practicante de psicología,Salario a convenir,Cartagena,https://www.elempleo.com/co/ofertas-trabajo/practicante-de-psicologia/1885613368
223,Sociedad Portuaria Michellmar S.A.,Contador publico,"$2 a $2,5 millones",Barranquilla,https://www.elempleo.com/co/ofertas-trabajo/contador-publico/1885613345
224,PANAMERICANA OUTSOURCING S.A.,Coordinador de comercio exterior,"$1,5 a $2 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/coordinador-de-comercio-exterior/1885613359
225,AEMC CONSTRUCCIONES Y CONSULTORIAS SAS,"Auxiliar contable, estudiante","$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-contable-estudiante/1885613357
226,Empresa confidencial,Analista de lealtad / fidelizacion de clientes,"$3 a $3,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/analista-de-lealtad---fidelizacion-de-clientes/1885613385
227,Empresa confidencial,Consultor comercial de oficina bancaria monteria,"$4 a $4,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/consultor-comercial-de-oficina-bancaria-monteria/1885613378
228,Empresa confidencial,Director comercial - medellin,"$4,5 a $5,5 millones",Medellín,https://www.elempleo.com/co/ofertas-trabajo/director-comercial-medellin/1885613365
229,CHEMISTRY DE COLOMBIA SAS,Representante de ventas,"$1 a $1,5 millones",Remoto,https://www.elempleo.com/co/ofertas-trabajo/representante-de-ventas/1885613375
230,REDES HUMANAS S.A.,Especialista hse barranquilla,"$3 a $3,5 millones",Barranquilla,https://www.elempleo.com/co/ofertas-trabajo/especialista-hse-barranquilla/1885613424
231,Empresa confidencial,Mensajero repartidor con moto -manizales,Menos de $1 millón,Manizales,https://www.elempleo.com/co/ofertas-trabajo/mensajero-repartidor-con-moto-manizales/1885613437
232,ARMESSO S.A.,Vendedor medicina estetíca en medellín.,"$1 a $1,5 millones",Medellín,https://www.elempleo.com/co/ofertas-trabajo/vendedor-medicina-estetica-en-medellin/1885613429
233,PROCAPS S.A.,Planeador (licencia de maternidad),Salario a convenir,Barranquilla,https://www.elempleo.com/co/ofertas-trabajo/planeador-licencia-de-maternidad/1885613414
234,Universidad Cooperativa de Colombia,Profesor (a) tiempo completo derecho maestria en derecho publico - campus popayan,"$4 a $4,5 millones",Popayán,https://www.elempleo.com/co/ofertas-trabajo/profesor-a-tiempo-completo-derecho-maestria-en-derecho-publico-campus-popayan/1885613417
235,Empresa confidencial,Ingeniero de conectividad redes lan/wan,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-de-conectividad-redes-lan-wan/1885613409
236,SIES SALUD,Profesional en contaduria,"$1,5 a $2 millones",Bogotá alrededores,https://www.elempleo.com/co/ofertas-trabajo/profesional-en-contaduria/1885613416
237,Integrando Soluciones Logisticas,Auxiliar contable,"$1 a $1,5 millones",Cali,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-contable/1885506394
238,Gente OK,Vendedor de mostrador - sector eléctrico,"$1,5 a $2 millones",Medellín,https://www.elempleo.com/co/ofertas-trabajo/vendedor-de-mostrador-sector-electrico/1885613347
239,REFINANCIA S.A.,Asesor de cobranza - medellin,"$1 a $1,5 millones",Sabaneta,https://www.elempleo.com/co/ofertas-trabajo/asesor-de-cobranza-medellin/1885613420
240,DOBLE ALCA SAS,"Auxiliar operativo - logistico calle80, mosquera , madrid, funza","$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-operativo-logistico-calle80-mosquera-madrid-funza/1885613418
241,BRM SA,Administrador web,Salario a convenir,Remoto,https://www.elempleo.com/co/ofertas-trabajo/administrador-web/1885613436
242,Empresa confidencial,Almacenista junior - siberia y alrededores,"$1 a $1,5 millones",Tenjo,https://www.elempleo.com/co/ofertas-trabajo/almacenista-junior-siberia-y-alrededores/1885613395
243,RACAFE,Asesor comercial de vehículos pesados (buses y camiones),Salario a convenir,Cali,https://www.elempleo.com/co/ofertas-trabajo/asesor-comercial-de-vehiculos-pesados-buses-y-camiones/1885613402
244,Servicio de empleo Comfama,"Operario/a de producción, selección y empaque para rionegro 1626019435.25","$1 a $1,5 millones",Rionegro,https://www.elempleo.com/co/ofertas-trabajo/operario-a-de-produccion-seleccion-y-empaque-para-rionegro-162601943525/1885613468
245,D1 SAS,Practicante universitario profesional en sst,"$1 a $1,5 millones",Funza,https://www.elempleo.com/co/ofertas-trabajo/practicante-universitario-profesional-en-sst/1885613447
246,NEXA BPO,Agente call center cobranzas cartera administrativa,"$1,5 a $2 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/agente-call-center-cobranzas-cartera-administrativa/1885613458
247,Empresa confidencial,Científico de datos área de riesgo,"$3 a $3,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/cientifico-de-datos-area-de-riesgo/1885613459
248,Nexarte,Operarios de producción,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/operarios-de-produccion/1885613460
249,Nexarte,Todero auxiliar de mantenimiento,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/todero-auxiliar-de-mantenimiento/1885613462
250,RACAFE,Asesor posventa,Salario a convenir,Cali,https://www.elempleo.com/co/ofertas-trabajo/asesor-posventa/1885613466
251,Empresa confidencial,Practicante universitario de seguridad y salud en el trabajo,"$1 a $1,5 millones",Bogotá alrededores,https://www.elempleo.com/co/ofertas-trabajo/practicante-universitario-de-seguridad-y-salud-en-el-trabajo/1885613440
252,Sodimac - Homecenter,Vendedor 6 horas hc industriales,Salario a convenir,Medellín,https://www.elempleo.com/co/ofertas-trabajo/vendedor-6-horas-hc-industriales/1885613463
