,Empresas,Cargos,Salarios,Ciudades,Urls
7786,Almarchivos S.A,Tecnologo en logística y/o admnistrativas,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/tecnologo-en-logistica-y-o-admnistrativas/1885614174
7787,Empresa confidencial,Profesional de compras bilingue,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/profesional-de-compras-bilingue/1885614216
7788,Empresa confidencial,Profesional en relaciones interinstitucionales e internacionales.,"$2,5 a $3 millones",Manizales,https://www.elempleo.com/co/ofertas-trabajo/profesional-en-relaciones-interinstitucionales-e-internacionales/1885614195
7789,Empresa confidencial,Analista de riesgo - saro,"$3,5 a $4 millones",Remoto,https://www.elempleo.com/co/ofertas-trabajo/analista-de-riesgo-saro/1885614194
7790,Empresa confidencial,"Aprendiz tecnico, tecnologo diseño grafico y multimedia.","$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/aprendiz-tecnico-tecnologo-diseno-grafico-y-multimedia/1885613961
7791,Empresa confidencial,Auxiliar de enfermeria - girardot,"$1 a $1,5 millones",Armenia,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-enfermeria-girardot/1885614208
7792,Softtek Colombia,Consultor sap basis senior,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/consultor-sap-basis-senior/1885614164
7793,Fundación Universitaria Tecnológico Comfenalco,Docente de cátedra - estadística,Salario a convenir,Cartagena,https://www.elempleo.com/co/ofertas-trabajo/docente-de-catedra-estadistica/1885614134
7794,QUICK HELP,Coordinador de proyecto,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/coordinador-de-proyecto/1885614153
7795,S3 SIMPLE SMART SPEEDY S.A.S.,Analista postventa de servicio al cliente,"$2 a $2,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/analista-postventa-de-servicio-al-cliente/1885614155
7796,NEXA BPO,Asesor comercial externo entidad bancaria medellin,"$2 a $2,5 millones",Medellín,https://www.elempleo.com/co/ofertas-trabajo/asesor-comercial-externo-entidad-bancaria-medellin/1885614159
7797,Servicio de empleo Comfama,Asesor/a técnico/a comercial con vehículo 358017.157217,"$3 a $3,5 millones",Sabaneta,https://www.elempleo.com/co/ofertas-trabajo/asesor-a-tecnico-a-comercial-con-vehiculo-358017157217/1885614232
7798,Empresa confidencial,Tecnico electrico /aires acondicionados - girardot,"$1 a $1,5 millones",Girardot,https://www.elempleo.com/co/ofertas-trabajo/tecnico-electrico--aires-acondicionados-girardot/1885614144
7799,Empresa confidencial,Ejecutivo comercial salud - la vega,"$1 a $1,5 millones",La Vega,https://www.elempleo.com/co/ofertas-trabajo/ejecutivo-comercial-salud-la-vega/1885614129
7800,Inmaculada Concepcion,Auxiliar de cocina,"$1,5 a $2 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-cocina/1885612948
7801,Empresa confidencial,Auxiliar de nomina y contabilidad,"$2 a $2,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-nomina-y-contabilidad/1885612956
7802,Servicio de empleo Comfama,Líder de desarrollo 1626040293.141,$6 a $8 millones,Medellín,https://www.elempleo.com/co/ofertas-trabajo/lider-de-desarrollo-1626040293141/1885612934
7803,Servicio de empleo Comfama,Asesoría en punto de venta 305642.30,"$1 a $1,5 millones",Medellín,https://www.elempleo.com/co/ofertas-trabajo/asesoria-en-punto-de-venta-30564230/1885612937
